INFO 2022-10-22 16:27:46,645 django.utils.autoreload MainThread 3908 I:\django\gfvp\gfvp_env\lib\site-packages\django\utils\autoreload.py 643 run_with_reloader 15348 Watching for file changes with StatReloader
INFO 2022-10-22 16:28:38,526 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET / HTTP/1.1" 200 54443
INFO 2022-10-22 16:28:38,802 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/css/common.css HTTP/1.1" 304 0
INFO 2022-10-22 16:28:38,946 django.server Thread-2 256 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/vendor/%40popperjs/core/dist/umd/popper.min.js HTTP/1.1" 200 18835
INFO 2022-10-22 16:28:38,985 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/vendor/bootstrap/dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 78420
INFO 2022-10-22 16:28:39,190 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/vendor/chartist/dist/chartist.min.js HTTP/1.1" 200 40312
INFO 2022-10-22 16:28:39,193 django.server Thread-2 256 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/vendor/jquery/jquery.min.js HTTP/1.1" 200 86927
INFO 2022-10-22 16:28:39,345 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/vendor/chartist-plugin-tooltips/dist/chartist-plugin-tooltip.min.js HTTP/1.1" 200 2977
INFO 2022-10-22 16:28:39,446 django.server Thread-2 256 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/vendor/vanillajs-datepicker/dist/js/datepicker.min.js HTTP/1.1" 200 31587
INFO 2022-10-22 16:28:39,452 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/js/volt.js HTTP/1.1" 200 13782
INFO 2022-10-22 16:28:39,797 django.server Thread-2 256 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/new_logo.png HTTP/1.1" 200 113487
INFO 2022-10-22 16:28:39,803 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/upload/site_image/gf_Artboard_12x.png HTTP/1.1" 200 26091
INFO 2022-10-22 16:28:39,940 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /static/assets/shippinglab-logo.svg HTTP/1.1" 200 10323
INFO 2022-10-22 16:28:46,312 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /upload/usertype/maniren.png HTTP/1.1" 200 53719
INFO 2022-10-22 16:28:46,453 django.server Thread-2 256 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /upload/usertype/biodiesel.png HTTP/1.1" 200 11536
INFO 2022-10-22 16:28:46,592 django.server Thread-3 18384 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /upload/usertype/lab-scientist-icon.png HTTP/1.1" 200 78374
INFO 2022-10-22 16:28:52,241 django.server Thread-1 4136 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /upload/usertype/5b1f9062e36e1_thumb900_baBsHBO.png HTTP/1.1" 200 72271
INFO 2022-10-22 16:28:52,741 django.server Thread-2 256 I:\django\gfvp\gfvp_env\lib\site-packages\django\core\servers\basehttp.py 179 log_message 15348 "GET /upload/featured_image/2022/09/12/hole..PNG HTTP/1.1" 200 68359
